Size,Eigenvalue Density,Rank Reduction Steps,Original Objective,Squeezed Objective,Objective Difference,Original Runtime (s),Squeezed Runtime (s),Original Status,Squeezed Status
5,0.4,3,3.0,3.0,0.0,0.0019989013671875,0.0009996891021728516,OPTIMAL,OPTIMAL
6,0.3333333333333333,2,-16.0,-15.999999999999996,3.552713678800501e-15,0.0039708614349365234,0.004998683929443359,OPTIMAL,OPTIMAL
7,0.42857142857142855,2,5.0,5.0,0.0,0.0019750595092773438,0.0019998550415039062,OPTIMAL,OPTIMAL
8,0.5,2,14.0,14.000000000000007,7.105427357601002e-15,0.003973960876464844,0.0059795379638671875,OPTIMAL,OPTIMAL
9,0.5555555555555556,2,53.0,52.999999999999986,1.4210854715202004e-14,0.006997585296630859,0.006555080413818359,OPTIMAL,OPTIMAL
10,0.6,3,53.0,52.99999999999997,2.842170943040401e-14,0.006979942321777344,0.016976356506347656,OPTIMAL,OPTIMAL
11,0.5454545454545454,2,8.0,8.0,0.0,0.0028917789459228516,0.0029942989349365234,OPTIMAL,OPTIMAL
12,0.4166666666666667,3,23.0,23.000000000000114,1.1368683772161603e-13,0.010982990264892578,0.011970043182373047,OPTIMAL,OPTIMAL
13,0.6153846153846154,3,37.0,37.0,0.0,0.005758523941040039,0.04050803184509277,OPTIMAL,OPTIMAL
14,0.5,3,39.0,38.999999999990905,9.094947017729282e-12,0.00998067855834961,0.04900789260864258,OPTIMAL,OPTIMAL
